precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
float,16,1,-1,native,profile_operator,2.4616999999999998e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_preconditioner,5.6677999999999995e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_total,9.7014000000000003e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_operator,2.3274999999999997e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_preconditioner,5.4683000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_total,9.5631000000000006e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,reference,products,2.0866009521484376e-07,0,0,0,0,0,78465616
float,16,1,0,reference,solve,8.4480000000000004e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,native,products,2.1022738647460939e-07,0,0,0,0,0,78465616
float,16,1,0,native,solve,8.1553999999999999e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,native,products,2.1167941284179687e-07,0,0,0,0,0,78465616
float,16,1,1,native,solve,8.2817000000000003e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,reference,products,2.1762973022460936e-07,0,0,0,0,0,78465616
float,16,1,1,reference,solve,9.1413e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,reference,products,2.0767373657226563e-07,0,0,0,0,0,78465616
float,16,1,2,reference,solve,8.0181999999999999e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,native,products,2.0763888549804688e-07,0,0,0,0,0,78465616
float,16,1,2,native,solve,8.0733000000000001e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,native,products,2.1107586669921876e-07,0,0,0,0,0,78465616
float,16,1,3,native,solve,7.9892e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,reference,products,2.1119998168945313e-07,0,0,0,0,0,78465616
float,16,1,3,reference,solve,8.0111999999999995e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,reference,products,2.1196499633789062e-07,0,0,0,0,0,78465616
float,16,1,4,reference,solve,8.6624000000000003e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,native,products,2.0939208984375001e-07,0,0,0,0,0,78465616
float,16,1,4,native,solve,7.9701000000000001e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,native,products,2.1141403198242187e-07,0,0,0,0,0,78465616
float,16,1,5,native,solve,9.8426999999999998e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,reference,products,2.0651004028320314e-07,0,0,0,0,0,78465616
float,16,1,5,reference,solve,8.0152000000000001e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,reference,products,2.111373291015625e-07,0,0,0,0,0,78465616
float,16,1,6,reference,solve,8.0041000000000002e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,native,products,2.512007141113281e-07,0,0,0,0,0,78465616
float,16,1,6,native,solve,8.1073000000000001e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,7,native,products,2.1492837524414061e-07,0,0,0,0,0,78465616
float,16,1,7,native,solve,7.9740999999999994e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,7,reference,products,2.1014300537109376e-07,0,0,0,0,0,78465616
float,16,1,7,reference,solve,8.1032999999999995e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,8,reference,products,2.1790887451171874e-07,0,0,0,0,0,78465616
