precision,side,block,phase,pairs,reference_median_seconds,native_median_seconds,median_paired_speedup,min_paired_speedup,max_paired_speedup
double,16,1,products,10,1.3700914001464844e-07,1.3757693481445314e-07,0.9951391867412552,0.9830262211798492,1.2824202562613847
double,16,1,solve,10,0.0001400505,0.000140982,0.9975347021319262,0.8776779630289504,1.0950654716289607
double,16,5,products,10,6.291615290706546e-07,6.269760415077064e-07,1.0015314499075152,0.9489004970835314,1.3148668217495894
double,16,5,solve,10,0.0002310475,0.000227466,1.0053438311926852,0.9237601656489199,1.1187044832990198
double,16,1296,products,10,0.00018022182,0.0001738109,1.0108143020313214,0.9481095025734739,1.3559650772518004
double,16,1296,solve,10,0.07356592649999999,0.07286513850000001,1.0048785486373295,0.9903429307762756,1.0799920811098267
float,16,1,products,10,2.1073724365234375e-07,2.1080358886718751e-07,1.0003779279598,0.8405124557408298,1.0350425950434068
float,16,1,solve,10,8.03575e-05,8.05875e-05,1.0056473124793786,0.8143294014853648,1.1037951145296254
float,16,5,products,10,9.323424385777506e-07,9.364445292232566e-07,0.9944265122913266,0.8156472725516295,1.0667534440634816
float,16,5,solve,10,0.000127692,0.0001272665,1.0037003248106582,0.8658168262951674,1.168407320964079
float,16,1296,products,10,0.00024276254,0.0002444329,0.9900317691157735,0.7733269337872,1.0547773782734688
float,16,1296,solve,10,0.018142467500000002,0.018077169,0.9798462966668247,0.9178706850953084,1.2475183162821526
