precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
float,16,1,-1,native,profile_operator,3.3543000000000001e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_preconditioner,7.7817000000000004e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_total,0.000127732,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_operator,3.2621999999999994e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_preconditioner,7.6317000000000008e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_total,0.000140366,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,reference,products,2.908250427246094e-07,0,0,0,0,0,78465616
float,16,1,0,reference,solve,0.000133442,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,native,products,2.9535812377929687e-07,0,0,0,0,0,78465616
float,16,1,0,native,solve,0.000112744,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,native,products,2.9572564697265624e-07,0,0,0,0,0,78465616
float,16,1,1,native,solve,0.000112273,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,reference,products,2.9592224121093751e-07,0,0,0,0,0,78465616
float,16,1,1,reference,solve,0.00011284400000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,reference,products,2.952236022949219e-07,0,0,0,0,0,78465616
float,16,1,2,reference,solve,0.00011263400000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,native,products,3.0307449340820314e-07,0,0,0,0,0,78465616
float,16,1,2,native,solve,0.00011231299999999999,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,native,products,3.0565777587890624e-07,0,0,0,0,0,78465616
float,16,1,3,native,solve,0.00011207199999999999,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,reference,products,2.9389663696289062e-07,0,0,0,0,0,78465616
float,16,1,3,reference,solve,0.000112463,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,reference,products,3.0041226196289061e-07,0,0,0,0,0,78465616
float,16,1,4,reference,solve,0.00011223200000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,native,products,2.9986984252929687e-07,0,0,0,0,0,78465616
float,16,1,4,native,solve,0.00011215299999999999,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,native,products,3.3994546508789061e-07,0,0,0,0,0,78465616
float,16,1,5,native,solve,0.000112222,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,reference,products,2.9973196411132811e-07,0,0,0,0,0,78465616
float,16,1,5,reference,solve,0.000112693,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,reference,products,2.9538656616210938e-07,0,0,0,0,0,78465616
float,16,1,6,reference,solve,0.00011297400000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,native,products,2.9947055053710937e-07,0,0,0,0,0,78465616
float,16,1,6,native,solve,0.000112493,4,10,8,14,3.2914065381477398e-06,0
float,16,1,7,native,products,2.9476007080078126e-07,0,0,0,0,0,78465616
float,16,1,7,native,solve,0.000111822,4,10,8,14,3.2914065381477398e-06,0
float,16,1,7,reference,products,2.9143255615234376e-07,0,0,0,0,0,78465616
float,16,1,7,reference,solve,0.00011260300000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,8,reference,products,2.9456561279296873e-07,0,0,0,0,0,78465616
float,16,1,8,reference,solve,0.00011210200000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,8,native,products,2.9385656738281252e-07,0,0,0,0,0,78465616
float,16,1,8,native,solve,0.000112242,4,10,8,14,3.2914065381477398e-06,0
float,16,1,9,native,products,2.9755712890625001e-07,0,0,0,0,0,78465616
float,16,1,9,native,solve,0.000112132,4,10,8,14,3.2914065381477398e-06,0
float,16,1,9,reference,products,2.9177011108398438e-07,0,0,0,0,0,78465616
float,16,1,9,reference,solve,0.000113125,4,10,8,14,3.2914065381477398e-06,0
double,16,1,-1,native,profile_operator,5.3200999999999988e-05,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,native,profile_preconditioner,0.00014515399999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,native,profile_total,0.000219836,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_operator,5.2239999999999995e-05,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_preconditioner,0.00014288000000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_total,0.000218605,7,16,14,23,4.5613717577587319e-10,0
double,16,1,0,reference,products,1.9566610717773437e-07,0,0,0,0,0,78465625.174233173
double,16,1,0,reference,solve,0.00060678000000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,0,native,products,2.1914013671875e-07,0,0,0,0,0,78465625.174233173
double,16,1,0,native,solve,0.00021625,7,16,14,23,4.5613717577587319e-10,0
double,16,1,1,native,products,1.9505856323242187e-07,0,0,0,0,0,78465625.174233173
double,16,1,1,native,solve,0.00019991900000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,1,reference,products,1.9264645385742188e-07,0,0,0,0,0,78465625.174233173
double,16,1,1,reference,solve,0.00019772400000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,2,reference,products,1.9543646240234376e-07,0,0,0,0,0,78465625.174233173
double,16,1,2,reference,solve,0.00021302300000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,2,native,products,1.9447335815429687e-07,0,0,0,0,0,78465625.174233173
double,16,1,2,native,solve,0.00019779500000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,3,native,products,2.0910159301757813e-07,0,0,0,0,0,78465625.174233173
double,16,1,3,native,solve,0.000230657,7,16,14,23,4.5613717577587319e-10,0
double,16,1,3,reference,products,1.9554196166992189e-07,0,0,0,0,0,78465625.174233173
double,16,1,3,reference,solve,0.00019794499999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,4,reference,products,1.9089477539062499e-07,0,0,0,0,0,78465625.174233173
double,16,1,4,reference,solve,0.000198156,7,16,14,23,4.5613717577587319e-10,0
double,16,1,4,native,products,1.9370867919921874e-07,0,0,0,0,0,78465625.174233173
double,16,1,4,native,solve,0.00019841600000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,5,native,products,1.9343164062499999e-07,0,0,0,0,0,78465625.174233173
double,16,1,5,native,solve,0.00021096,7,16,14,23,4.5613717577587319e-10,0
double,16,1,5,reference,products,1.9958709716796876e-07,0,0,0,0,0,78465625.174233173
double,16,1,5,reference,solve,0.00019242400000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,6,reference,products,1.9050833129882813e-07,0,0,0,0,0,78465625.174233173
double,16,1,6,reference,solve,0.000192745,7,16,14,23,4.5613717577587319e-10,0
double,16,1,6,native,products,1.8608926391601562e-07,0,0,0,0,0,78465625.174233173
double,16,1,6,native,solve,0.000186613,7,16,14,23,4.5613717577587319e-10,0
double,16,1,7,native,products,1.7817843627929687e-07,0,0,0,0,0,78465625.174233173
double,16,1,7,native,solve,0.00017744599999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,7,reference,products,1.7092868041992186e-07,0,0,0,0,0,78465625.174233173
double,16,1,7,reference,solve,0.000175212,7,16,14,23,4.5613717577587319e-10,0
double,16,1,8,reference,products,2.0149011230468749e-07,0,0,0,0,0,78465625.174233173
double,16,1,8,reference,solve,0.00016349999999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,8,native,products,1.5785488891601563e-07,0,0,0,0,0,78465625.174233173
double,16,1,8,native,solve,0.00015751900000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,9,native,products,1.541485595703125e-07,0,0,0,0,0,78465625.174233173
double,16,1,9,native,solve,0.000162898,7,16,14,23,4.5613717577587319e-10,0
double,16,1,9,reference,products,1.4641018676757812e-07,0,0,0,0,0,78465625.174233173
double,16,1,9,reference,solve,0.00015827899999999999,7,16,14,23,4.5613717577587319e-10,0
float,16,5,-1,native,profile_operator,4.0785000000000003e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,native,profile_preconditioner,7.4240999999999996e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,native,profile_total,0.00016232799999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_operator,4.6697000000000004e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_preconditioner,7.3769000000000005e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_total,0.00017292800000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,0,reference,products,9.330831680146498e-07,0,0,0,0,0,79192294.665039062
float,16,5,0,reference,solve,0.00013006700000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,0,native,products,9.2604257591942618e-07,0,0,0,0,0,79192294.665039062
float,16,5,0,native,solve,0.00016558299999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,1,native,products,9.3167663665496724e-07,0,0,0,0,0,79192294.665039062
float,16,5,1,native,solve,0.00014313100000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,1,reference,products,9.3089531512284456e-07,0,0,0,0,0,79192294.665039062
float,16,5,1,reference,solve,0.00012844399999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,2,reference,products,9.311231497024264e-07,0,0,0,0,0,79192294.665039062
float,16,5,2,reference,solve,0.000127632,4,10,8,14,3.3816904203655107e-06,0
float,16,5,2,native,products,9.2934640622615592e-07,0,0,0,0,0,79192294.665039062
float,16,5,2,native,solve,0.00014679800000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,3,native,products,9.5222371432931488e-07,0,0,0,0,0,79192294.665039062
float,16,5,3,native,solve,0.00013338299999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,3,reference,products,1.0338860064092783e-06,0,0,0,0,0,79192294.665039062
float,16,5,3,reference,solve,0.00013148899999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,4,reference,products,1.1432003662444683e-06,0,0,0,0,0,79192294.665039062
float,16,5,4,reference,solve,0.000129806,4,10,8,14,3.3816904203655107e-06,0
float,16,5,4,native,products,1.13970227376774e-06,0,0,0,0,0,79192294.665039062
float,16,5,4,native,solve,0.00014406299999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,5,native,products,1.2148622005188463e-06,0,0,0,0,0,79192294.665039062
float,16,5,5,native,solve,0.000129395,4,10,8,14,3.3816904203655107e-06,0
float,16,5,5,reference,products,2.107062108957729e-06,0,0,0,0,0,79192294.665039062
float,16,5,5,reference,solve,0.000130307,4,10,8,14,3.3816904203655107e-06,0
float,16,5,6,reference,products,9.2712955898061963e-07,0,0,0,0,0,79192294.665039062
