precision,side,block,phase,pairs,reference_median_seconds,native_median_seconds,median_paired_speedup,min_paired_speedup,max_paired_speedup
double,16,1,products,10,1.9404145812988282e-07,1.9357015991210938e-07,0.9865537248147368,0.8928811951452654,1.2764261765239804
double,16,1,solve,10,0.0001952345,0.00019810550000000002,0.9938550875643947,0.8581790277338212,2.8059190751445087
double,16,5,products,10,6.288267205859911e-07,6.358114603998169e-07,0.9937392594484586,0.9631418366090124,1.307939880063269
double,16,5,solve,10,0.00023225950000000002,0.0002325805,0.9917374435154969,0.7709980736330203,1.1111149907906108
double,16,1296,products,10,0.00017551272,0.00017994672,0.9719038854337316,0.8974660594593433,1.0222392128031543
double,16,1296,solve,10,0.07214548700000001,0.0721712865,1.0065143781466714,0.9747811589962323,1.0295059940414326
float,16,1,products,10,2.9489460754394534e-07,2.985138397216797e-07,0.9855074532541523,0.8817060231523737,1.0024128962523153
float,16,1,solve,10,0.0001126635,0.000112232,1.0042364298103073,0.9987526950695819,1.1835840488185623
float,16,5,products,10,9.321031588585382e-07,9.313769265985045e-07,1.003561972770008,0.9934584092676214,1.7344042049031074
float,16,5,solve,10,0.0001295755,0.000138257,0.9434183207718453,0.7855093820017757,1.1066086970048146
float,16,1296,products,10,0.00024457094,0.00024307072,0.9985027561808628,0.9518969646506605,1.1634401498533555
float,16,1296,solve,10,0.0177399325,0.0176393325,1.0097946378077696,0.8339183894838498,1.1053768028892808
