precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
float,16,1,-1,native,profile_operator,2.3823000000000002e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_preconditioner,5.5645000000000007e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_total,9.1232999999999999e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_operator,2.3282999999999997e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_preconditioner,5.4583999999999998e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_total,9.3517000000000006e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,reference,products,2.1877227783203125e-07,0,0,0,0,0,78465616
float,16,1,0,reference,solve,8.1293999999999998e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,native,products,2.4816601562500002e-07,0,0,0,0,0,78465616
float,16,1,0,native,solve,8.0463000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,native,products,2.508172302246094e-07,0,0,0,0,0,78465616
float,16,1,1,native,solve,7.8888999999999996e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,reference,products,2.1050283813476563e-07,0,0,0,0,0,78465616
float,16,1,1,reference,solve,7.9320999999999995e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,reference,products,2.0985827636718751e-07,0,0,0,0,0,78465616
float,16,1,2,reference,solve,7.8819000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,native,products,2.496440734863281e-07,0,0,0,0,0,78465616
float,16,1,2,native,solve,7.9019999999999999e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,native,products,2.9037399291992188e-07,0,0,0,0,0,78465616
float,16,1,3,native,solve,7.9159999999999994e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,reference,products,2.1016403198242188e-07,0,0,0,0,0,78465616
float,16,1,3,reference,solve,7.9300000000000003e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,reference,products,2.1385147094726562e-07,0,0,0,0,0,78465616
float,16,1,4,reference,solve,7.9140000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,native,products,2.4868948364257811e-07,0,0,0,0,0,78465616
float,16,1,4,native,solve,8.0172000000000004e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,native,products,2.5001736450195313e-07,0,0,0,0,0,78465616
float,16,1,5,native,solve,0.00010129200000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,reference,products,2.0973690795898437e-07,0,0,0,0,0,78465616
float,16,1,5,reference,solve,9.5091000000000001e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,reference,products,2.1035757446289061e-07,0,0,0,0,0,78465616
float,16,1,6,reference,solve,8.5551999999999997e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,native,products,2.4938690185546873e-07,0,0,0,0,0,78465616
float,16,1,6,native,solve,8.0272000000000007e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,7,native,products,2.5060687255859375e-07,0,0,0,0,0,78465616
float,16,1,7,native,solve,8.1304000000000006e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,7,reference,products,2.2580160522460936e-07,0,0,0,0,0,78465616
float,16,1,7,reference,solve,8.3788000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,8,reference,products,2.1155337524414062e-07,0,0,0,0,0,78465616
float,16,1,8,reference,solve,8.1444000000000002e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,8,native,products,2.4924841308593753e-07,0,0,0,0,0,78465616
float,16,1,8,native,solve,8.2206000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,9,native,products,2.4889892578125002e-07,0,0,0,0,0,78465616
float,16,1,9,native,solve,7.9741999999999996e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,9,reference,products,2.1545452880859375e-07,0,0,0,0,0,78465616
float,16,1,9,reference,solve,0.00011613,4,10,8,14,3.2914065381477398e-06,0
double,16,1,-1,native,profile_operator,3.4657999999999999e-05,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,native,profile_preconditioner,0.00010304599999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,native,profile_total,0.00015947199999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_operator,3.3353999999999993e-05,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_preconditioner,0.00010199699999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_total,0.00016099500000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,0,reference,products,1.3943954467773438e-07,0,0,0,0,0,78465625.174233173
double,16,1,0,reference,solve,0.00014991399999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,0,native,products,5.7713333129882808e-07,0,0,0,0,0,78465625.174233173
double,16,1,0,native,solve,0.000154683,7,16,14,23,4.5613717577587319e-10,0
double,16,1,1,native,products,2.3022463989257812e-07,0,0,0,0,0,78465625.174233173
double,16,1,1,native,solve,0.00015589600000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,1,reference,products,1.3667034912109375e-07,0,0,0,0,0,78465625.174233173
double,16,1,1,reference,solve,0.00014713899999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,2,reference,products,1.358463134765625e-07,0,0,0,0,0,78465625.174233173
double,16,1,2,reference,solve,0.00014524500000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,2,native,products,2.3190139770507813e-07,0,0,0,0,0,78465625.174233173
double,16,1,2,native,solve,0.000157508,7,16,14,23,4.5613717577587319e-10,0
double,16,1,3,native,products,2.3218847656249999e-07,0,0,0,0,0,78465625.174233173
double,16,1,3,native,solve,0.000147109,7,16,14,23,4.5613717577587319e-10,0
double,16,1,3,reference,products,1.3664004516601561e-07,0,0,0,0,0,78465625.174233173
double,16,1,3,reference,solve,0.00014549499999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,4,reference,products,1.3789886474609374e-07,0,0,0,0,0,78465625.174233173
double,16,1,4,reference,solve,0.00014517499999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,4,native,products,2.3149383544921874e-07,0,0,0,0,0,78465625.174233173
double,16,1,4,native,solve,0.00014793,7,16,14,23,4.5613717577587319e-10,0
double,16,1,5,native,products,2.3198608398437501e-07,0,0,0,0,0,78465625.174233173
double,16,1,5,native,solve,0.000146768,7,16,14,23,4.5613717577587319e-10,0
double,16,1,5,reference,products,1.3821136474609374e-07,0,0,0,0,0,78465625.174233173
double,16,1,5,reference,solve,0.00014548600000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,6,reference,products,1.381226806640625e-07,0,0,0,0,0,78465625.174233173
double,16,1,6,reference,solve,0.000145566,7,16,14,23,4.5613717577587319e-10,0
double,16,1,6,native,products,2.3241690063476563e-07,0,0,0,0,0,78465625.174233173
double,16,1,6,native,solve,0.000147269,7,16,14,23,4.5613717577587319e-10,0
double,16,1,7,native,products,2.3409518432617189e-07,0,0,0,0,0,78465625.174233173
double,16,1,7,native,solve,0.00014771000000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,7,reference,products,1.7133807373046874e-07,0,0,0,0,0,78465625.174233173
double,16,1,7,reference,solve,0.000146327,7,16,14,23,4.5613717577587319e-10,0
double,16,1,8,reference,products,1.4365869140624999e-07,0,0,0,0,0,78465625.174233173
double,16,1,8,reference,solve,0.00015056499999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,8,native,products,2.3292141723632812e-07,0,0,0,0,0,78465625.174233173
double,16,1,8,native,solve,0.00014707899999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,9,native,products,2.3252331542968751e-07,0,0,0,0,0,78465625.174233173
double,16,1,9,native,solve,0.000160524,7,16,14,23,4.5613717577587319e-10,0
double,16,1,9,reference,products,1.3817282104492188e-07,0,0,0,0,0,78465625.174233173
double,16,1,9,reference,solve,0.000145456,7,16,14,23,4.5613717577587319e-10,0
float,16,5,-1,native,profile_operator,4.1387000000000002e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,native,profile_preconditioner,7.3650000000000001e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,native,profile_total,0.00015425200000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_operator,4.0372000000000006e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_preconditioner,7.241800000000001e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_total,0.00016069399999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,0,reference,products,9.3227880360140401e-07,0,0,0,0,0,79192294.665039062
float,16,5,0,reference,solve,0.00012825299999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,0,native,products,1.1797045627956661e-06,0,0,0,0,0,79192294.665039062
float,16,5,0,native,solve,0.00013062800000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,1,native,products,1.183311307797955e-06,0,0,0,0,0,79192294.665039062
float,16,5,1,native,solve,0.000127902,4,10,8,14,3.3816904203655107e-06,0
float,16,5,1,reference,products,9.3427712498092474e-07,0,0,0,0,0,79192294.665039062
float,16,5,1,reference,solve,0.000126329,4,10,8,14,3.3816904203655107e-06,0
float,16,5,2,reference,products,9.7634518541126201e-07,0,0,0,0,0,79192294.665039062
float,16,5,2,reference,solve,0.000133323,4,10,8,14,3.3816904203655107e-06,0
float,16,5,2,native,products,1.1893274835952999e-06,0,0,0,0,0,79192294.665039062
float,16,5,2,native,solve,0.000128503,4,10,8,14,3.3816904203655107e-06,0
float,16,5,3,native,products,1.1830009156111705e-06,0,0,0,0,0,79192294.665039062
float,16,5,3,native,solve,0.00013008599999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,3,reference,products,9.3113825728673891e-07,0,0,0,0,0,79192294.665039062
float,16,5,3,reference,solve,0.00013059700000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,4,reference,products,9.3502166946436748e-07,0,0,0,0,0,79192294.665039062
float,16,5,4,reference,solve,0.00012635000000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,4,native,products,1.1819598657103617e-06,0,0,0,0,0,79192294.665039062
float,16,5,4,native,solve,0.000128143,4,10,8,14,3.3816904203655107e-06,0
float,16,5,5,native,products,1.1746255150312833e-06,0,0,0,0,0,79192294.665039062
float,16,5,5,native,solve,0.000127191,4,10,8,14,3.3816904203655107e-06,0
float,16,5,5,reference,products,9.3989897756752625e-07,0,0,0,0,0,79192294.665039062
float,16,5,5,reference,solve,0.00012722100000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,6,reference,products,9.2355638638791389e-07,0,0,0,0,0,79192294.665039062
float,16,5,6,reference,solve,0.00012672000000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,6,native,products,1.1975808026857928e-06,0,0,0,0,0,79192294.665039062
float,16,5,6,native,solve,0.000143752,4,10,8,14,3.3816904203655107e-06,0
float,16,5,7,native,products,1.1801036166641233e-06,0,0,0,0,0,79192294.665039062
float,16,5,7,native,solve,0.00014523499999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,7,reference,products,9.2903891347474443e-07,0,0,0,0,0,79192294.665039062
float,16,5,7,reference,solve,0.000127181,4,10,8,14,3.3816904203655107e-06,0
float,16,5,8,reference,products,9.2745048069586452e-07,0,0,0,0,0,79192294.665039062
float,16,5,8,reference,solve,0.000129195,4,10,8,14,3.3816904203655107e-06,0
float,16,5,8,native,products,1.1734008850907981e-06,0,0,0,0,0,79192294.665039062
float,16,5,8,native,solve,0.00012891399999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,9,native,products,1.1866535937738441e-06,0,0,0,0,0,79192294.665039062
float,16,5,9,native,solve,0.000130257,4,10,8,14,3.3816904203655107e-06,0
float,16,5,9,reference,products,1.1420123607508011e-06,0,0,0,0,0,79192294.665039062
float,16,5,9,reference,solve,0.00012822199999999999,4,10,8,14,3.3816904203655107e-06,0
double,16,5,-1,native,profile_operator,7.2468000000000012e-05,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,native,profile_preconditioner,0.00014502500000000002,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,native,profile_total,0.00030070900000000002,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,reference,profile_operator,6.6194999999999999e-05,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,reference,profile_preconditioner,0.000138811,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,reference,profile_total,0.000283527,7,16,14,23,5.6037012670773305e-10,0
double,16,5,0,reference,products,6.2573142072333283e-07,0,0,0,0,0,79192302.082384101
double,16,5,0,reference,solve,0.00024776900000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,0,native,products,1.1132166946436745e-06,0,0,0,0,0,79192302.082384101
double,16,5,0,native,solve,0.00023316100000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,1,native,products,1.1068609797039523e-06,0,0,0,0,0,79192302.082384101
double,16,5,1,native,solve,0.00023020699999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,1,reference,products,6.3342026552723944e-07,0,0,0,0,0,79192302.082384101
double,16,5,1,reference,solve,0.000231719,7,16,14,23,5.6037012670773305e-10,0
double,16,5,2,reference,products,6.3457164657408821e-07,0,0,0,0,0,79192302.082384101
double,16,5,2,reference,solve,0.000227691,7,16,14,23,5.6037012670773305e-10,0
double,16,5,2,native,products,1.0945011445139631e-06,0,0,0,0,0,79192302.082384101
double,16,5,2,native,solve,0.000230557,7,16,14,23,5.6037012670773305e-10,0
double,16,5,3,native,products,1.1020540210590568e-06,0,0,0,0,0,79192302.082384101
double,16,5,3,native,solve,0.00023016599999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,3,reference,products,6.2711490920189229e-07,0,0,0,0,0,79192302.082384101
double,16,5,3,reference,solve,0.00022841300000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,4,reference,products,6.3849168319853511e-07,0,0,0,0,0,79192302.082384101
double,16,5,4,reference,solve,0.000228192,7,16,14,23,5.6037012670773305e-10,0
double,16,5,4,native,products,1.1014181291011749e-06,0,0,0,0,0,79192302.082384101
double,16,5,4,native,solve,0.00022985599999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,5,native,products,1.0982807874256065e-06,0,0,0,0,0,79192302.082384101
double,16,5,5,native,solve,0.00022957500000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,5,reference,products,6.2882282923851678e-07,0,0,0,0,0,79192302.082384101
double,16,5,5,reference,solve,0.000228283,7,16,14,23,5.6037012670773305e-10,0
double,16,5,6,reference,products,6.3942438577750649e-07,0,0,0,0,0,79192302.082384101
double,16,5,6,reference,solve,0.000227691,7,16,14,23,5.6037012670773305e-10,0
double,16,5,6,native,products,1.0972395849229361e-06,0,0,0,0,0,79192302.082384101
double,16,5,6,native,solve,0.00023167899999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,7,native,products,1.0990512742255454e-06,0,0,0,0,0,79192302.082384101
double,16,5,7,native,solve,0.00022960499999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,7,reference,products,6.288792919273615e-07,0,0,0,0,0,79192302.082384101
double,16,5,7,reference,solve,0.000229705,7,16,14,23,5.6037012670773305e-10,0
double,16,5,8,reference,products,6.3067739966427598e-07,0,0,0,0,0,79192302.082384101
double,16,5,8,reference,solve,0.00022784199999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,8,native,products,1.1345405157942927e-06,0,0,0,0,0,79192302.082384101
double,16,5,8,native,solve,0.00024052599999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,9,native,products,1.094567068518236e-06,0,0,0,0,0,79192302.082384101
double,16,5,9,native,solve,0.00022912400000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,9,reference,products,6.2976606134594849e-07,0,0,0,0,0,79192302.082384101
double,16,5,9,reference,solve,0.000241277,7,16,14,23,5.6037012670773305e-10,0
float,16,1296,-1,native,profile_operator,0.0044759889999999997,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,-1,native,profile_preconditioner,0.0073977039999999989,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,-1,native,profile_total,0.024001497,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,-1,reference,profile_operator,0.0047069769999999993,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,-1,reference,profile_preconditioner,0.0076410840000000002,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,-1,reference,profile_total,0.024337073000000001,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,0,reference,products,0.00024724559999999998,0,0,0,0,0,80810075
float,16,1296,0,reference,solve,0.016514243000000001,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,0,native,products,0.00030614191999999996,0,0,0,0,0,80810075
float,16,1296,0,native,solve,0.016952091999999998,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,1,native,products,0.00030385919999999998,0,0,0,0,0,80810075
float,16,1296,1,native,solve,0.017060708000000001,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,1,reference,products,0.00024049596000000001,0,0,0,0,0,80810075
float,16,1296,1,reference,solve,0.016651132999999999,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,2,reference,products,0.0002414502,0,0,0,0,0,80810075
float,16,1296,2,reference,solve,0.019836185999999999,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,2,native,products,0.00030219284000000001,0,0,0,0,0,80810075
float,16,1296,2,native,solve,0.018217108999999999,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,3,native,products,0.00030395295999999998,0,0,0,0,0,80810075
float,16,1296,3,native,solve,0.018713038000000001,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,3,reference,products,0.00023608044000000001,0,0,0,0,0,80810075
float,16,1296,3,reference,solve,0.018259309000000001,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,4,reference,products,0.00023665987999999999,0,0,0,0,0,80810075
float,16,1296,4,reference,solve,0.019765873,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,4,native,products,0.00031626872000000002,0,0,0,0,0,80810075
float,16,1296,4,native,solve,0.016747596,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,5,native,products,0.00035871752000000002,0,0,0,0,0,80810075
float,16,1296,5,native,solve,0.018246475000000002,4,10,8,14,6.7133383752071177e-06,0
float,16,1296,5,reference,products,0.00024802624,0,0,0,0,0,80810075
