precision,side,block,phase,pairs,reference_median_seconds,native_median_seconds,median_paired_speedup,min_paired_speedup,max_paired_speedup
double,16,1,products,10,1.3814775085449218e-07,2.323026885986328e-07,0.59426028371025,0.24160715923983841,0.7319162682635035
double,16,1,solve,10,0.0001455305,0.00014782,0.9849062268640729,0.906132416336498,1.0237015481475942
double,16,5,products,10,6.302217305051122e-07,1.1002347016633603e-06,0.572409599759653,0.5558879483671311,0.5827573071221415
double,16,5,solve,10,0.00022834800000000002,0.0002301865,0.9935664472340823,0.9472655762786559,1.0626519872534428
double,16,1296,products,10,0.00017477928,0.00029367470000000003,0.5934760487302412,0.5498273940969497,0.648705371613308
double,16,1296,solve,10,0.07199172549999999,0.071414622,1.0076120932695014,0.9928551931012721,1.030404180336915
float,16,1,products,10,2.1102810668945312e-07,2.4951548767089844e-07,0.8461320362317923,0.7237701622968006,0.9010192055759176
float,16,1,solve,10,8.1369e-05,8.0222e-05,1.0036223093050622,0.9387809501243928,1.4563216372802288
float,16,5,products,10,9.332779642911643e-07,1.182480390660766e-06,0.7903299436113296,0.7711850292829266,0.9623805689737364
float,16,5,solve,10,0.0001277215,0.0001295,0.9868546704333288,0.8756911212861914,1.037508851933418
float,16,1296,products,10,0.00024159288,0.00030420725999999996,0.7879129464300223,0.6914249407165839,0.8356027814556485
float,16,1296,solve,10,0.0184931775,0.0180514305,0.9937287150579186,0.9352206630487949,1.180221507612197
