precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
float,16,1,-1,native,profile_operator,2.3783999999999998e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_preconditioner,5.4961999999999993e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_total,9.4037999999999996e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_operator,2.1701999999999997e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_preconditioner,5.4763999999999993e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_total,9.0381000000000001e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,reference,products,2.1339566040039062e-07,0,0,0,0,0,78465616
float,16,1,0,reference,preconditioner,6.9670000000000004e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,0,reference,solve,8.0572e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,native,products,2.1108782958984376e-07,0,0,0,0,0,78465616
float,16,1,0,native,preconditioner,7.0708750000000003e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,0,native,solve,8.0122000000000003e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,native,products,2.0951443481445311e-07,0,0,0,0,0,78465616
float,16,1,1,native,preconditioner,6.9994999999999996e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,1,native,solve,7.9350000000000004e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,reference,products,2.0759918212890624e-07,0,0,0,0,0,78465616
float,16,1,1,reference,preconditioner,6.9957499999999999e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,1,reference,solve,7.9339999999999996e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,reference,products,2.1088021850585937e-07,0,0,0,0,0,78465616
float,16,1,2,reference,preconditioner,6.98575e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,2,reference,solve,0.000112963,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,native,products,2.095924072265625e-07,0,0,0,0,0,78465616
float,16,1,2,native,preconditioner,6.9994999999999996e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,2,native,solve,7.9170000000000003e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,native,products,2.1310885620117187e-07,0,0,0,0,0,78465616
float,16,1,3,native,preconditioner,6.98575e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,3,native,solve,7.9369999999999994e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,reference,products,2.1124804687500001e-07,0,0,0,0,0,78465616
float,16,1,3,reference,preconditioner,6.9844999999999998e-06,0,0,0,0,0,-0.84679639339447021
