precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
float,16,1,-1,native,profile_operator,3.4836000000000003e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_preconditioner,8.4531000000000008e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_total,0.00013690999999999999,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_operator,3.0548e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_preconditioner,8.426000000000001e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_total,0.0001371,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,reference,products,2.968945007324219e-07,0,0,0,0,0,78465616
float,16,1,0,reference,preconditioner,9.8524999999999993e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,0,reference,solve,0.00012651000000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,native,products,2.9450717163085936e-07,0,0,0,0,0,78465616
float,16,1,0,native,preconditioner,9.8723750000000005e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,0,native,solve,0.000113545,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,native,products,2.9433441162109377e-07,0,0,0,0,0,78465616
float,16,1,1,native,preconditioner,9.9451250000000008e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,1,native,solve,0.00011176200000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,reference,products,2.9691592407226565e-07,0,0,0,0,0,78465616
float,16,1,1,reference,preconditioner,9.7922499999999993e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,1,reference,solve,0.000111741,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,reference,products,2.9810589599609375e-07,0,0,0,0,0,78465616
float,16,1,2,reference,preconditioner,9.8247499999999994e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,2,reference,solve,0.000111672,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,native,products,2.9640591430664064e-07,0,0,0,0,0,78465616
float,16,1,2,native,preconditioner,9.8573749999999998e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,2,native,solve,0.000112524,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,native,products,2.951278381347656e-07,0,0,0,0,0,78465616
float,16,1,3,native,preconditioner,1.29045e-05,0,0,0,0,0,-0.84679639339447021
float,16,1,3,native,solve,0.00014212900000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,reference,products,3.0478878784179687e-07,0,0,0,0,0,78465616
float,16,1,3,reference,preconditioner,9.8786250000000006e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,3,reference,solve,0.00012825299999999999,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,reference,products,2.9873147583007813e-07,0,0,0,0,0,78465616
float,16,1,4,reference,preconditioner,9.8147499999999995e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,4,reference,solve,0.00012812300000000001,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,native,products,2.9771301269531252e-07,0,0,0,0,0,78465616
float,16,1,4,native,preconditioner,1.1465500000000001e-05,0,0,0,0,0,-0.84679639339447021
float,16,1,4,native,solve,0.00011688099999999999,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,native,products,2.9237911987304687e-07,0,0,0,0,0,78465616
float,16,1,5,native,preconditioner,9.8097500000000004e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,5,native,solve,0.000111712,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,reference,products,2.9867034912109374e-07,0,0,0,0,0,78465616
float,16,1,5,reference,preconditioner,9.8749999999999995e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,5,reference,solve,0.000127883,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,reference,products,3.1051892089843747e-07,0,0,0,0,0,78465616
float,16,1,6,reference,preconditioner,9.5706249999999995e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,6,reference,solve,0.000114026,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,native,products,3.0017495727539064e-07,0,0,0,0,0,78465616
float,16,1,6,native,preconditioner,9.5079999999999994e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,6,native,solve,0.000107774,4,10,8,14,3.2914065381477398e-06,0
float,16,1,7,native,products,2.7432797241210937e-07,0,0,0,0,0,78465616
float,16,1,7,native,preconditioner,8.8166249999999996e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,7,native,solve,0.000104417,4,10,8,14,3.2914065381477398e-06,0
float,16,1,7,reference,products,2.5927597045898436e-07,0,0,0,0,0,78465616
float,16,1,7,reference,preconditioner,8.2568750000000005e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,7,reference,solve,9.4969999999999994e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,8,reference,products,2.4533416748046876e-07,0,0,0,0,0,78465616
float,16,1,8,reference,preconditioner,7.7810000000000005e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,8,reference,solve,8.8216999999999999e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,8,native,products,2.2955447387695313e-07,0,0,0,0,0,78465616
float,16,1,8,native,preconditioner,7.4102499999999999e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,8,native,solve,8.4320000000000006e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,9,native,products,2.1868032836914063e-07,0,0,0,0,0,78465616
float,16,1,9,native,preconditioner,7.0696250000000001e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,9,native,solve,8.0142000000000006e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,9,reference,products,2.1185101318359376e-07,0,0,0,0,0,78465616
float,16,1,9,reference,preconditioner,7.9863750000000003e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,9,reference,solve,7.9350000000000004e-05,4,10,8,14,3.2914065381477398e-06,0
double,16,1,-1,native,profile_operator,3.4316000000000001e-05,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,native,profile_preconditioner,0.00010237700000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,native,profile_total,0.000153962,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_operator,3.3754999999999998e-05,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_preconditioner,0.000102006,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_total,0.00015207799999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,0,reference,products,1.3805709838867188e-07,0,0,0,0,0,78465625.174233173
double,16,1,0,reference,preconditioner,7.2587499999999997e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,0,reference,solve,0.000141388,7,16,14,23,4.5613717577587319e-10,0
double,16,1,0,native,products,1.38294677734375e-07,0,0,0,0,0,78465625.174233173
double,16,1,0,native,preconditioner,7.7434999999999996e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,0,native,solve,0.000141087,7,16,14,23,4.5613717577587319e-10,0
double,16,1,1,native,products,1.3907189941406249e-07,0,0,0,0,0,78465625.174233173
double,16,1,1,native,preconditioner,7.6457500000000004e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,1,native,solve,0.000155916,7,16,14,23,4.5613717577587319e-10,0
double,16,1,1,reference,products,1.369202880859375e-07,0,0,0,0,0,78465625.174233173
double,16,1,1,reference,preconditioner,7.2649999999999999e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,1,reference,solve,0.00014060599999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,2,reference,products,1.379742431640625e-07,0,0,0,0,0,78465625.174233173
double,16,1,2,reference,preconditioner,7.2512500000000002e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,2,reference,solve,0.00014031499999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,2,native,products,1.3816348266601562e-07,0,0,0,0,0,78465625.174233173
double,16,1,2,native,preconditioner,7.6857500000000001e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,2,native,solve,0.00014040600000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,3,native,products,1.4698635864257814e-07,0,0,0,0,0,78465625.174233173
