precision,side,block,phase,pairs,reference_median_seconds,native_median_seconds,median_paired_speedup,min_paired_speedup,max_paired_speedup
double,16,1,preconditioner,10,7.2574999999999995e-06,7.706500000000002e-06,0.9404809546401824,0.9144468423622817,1.0801390884158286
double,16,1,products,10,1.3753991699218751e-07,1.3856219482421876e-07,0.9949026857422816,0.7832070624393084,1.019371697677204
double,16,1,solve,10,0.0001404455,0.00014087650000000002,0.9971870094420311,0.8910762903870686,1.0227212775817203
double,16,5,preconditioner,10,1.01529375e-05,1.0606312500000001e-05,0.9566708519180562,0.14169929624752553,0.9640221511140499
double,16,5,products,10,6.296844956508468e-07,6.32327941400885e-07,0.9963697060701384,0.827093097961295,1.0873986202583596
double,16,5,solve,10,0.000231824,0.000230877,1.0032254459838872,0.8730360724487936,1.1000767339251147
double,16,1296,preconditioner,10,0.00235171,0.002422737625,0.9643756390173279,0.8869437486686036,1.0742959155587495
double,16,1296,products,10,0.00017804348,0.00017428478,0.9982540115996128,0.9504539766452196,1.1610144079981524
double,16,1296,solve,10,0.071796898,0.072257981,0.9882920254223362,0.9613293299999001,1.0387374980843458
float,16,1,preconditioner,10,9.803499999999999e-06,9.833562500000001e-06,0.9973385509783642,0.765517842613042,1.1296744876849905
float,16,1,products,10,2.9751091003417967e-07,2.9442079162597653e-07,1.0084384307989644,0.9451313629420439,1.0687405186969867
float,16,1,solve,10,0.00011288349999999999,0.000111737,1.0230144469414488,0.9023703818362191,1.144756158693784
float,16,5,preconditioner,10,9.273125e-06,9.366437500000002e-06,0.9900983537854335,0.854004661144057,1.2302105445855196
float,16,5,products,10,9.360359377384404e-07,9.329275904166031e-07,1.0008138230565164,0.799412890780367,1.012708257316984
float,16,5,solve,10,0.000128884,0.0001297,0.9926794181405221,0.9720631017005068,1.0175116861631148
float,16,1296,preconditioner,10,0.000667547,0.0006212625,1.0125870871812235,0.7212192257930622,1.2352392179565654
float,16,1296,products,10,0.00024188998,0.00023987016,1.005488058917516,0.8925864939310469,1.0477031664048695
float,16,1296,solve,10,0.018198776,0.0178060325,1.0405396658163761,0.8743123865848841,1.1667845916346917
