precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
float,16,1,-1,native,profile_operator,2.5597999999999998e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_preconditioner,5.5275000000000002e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_total,9.2205000000000002e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_operator,2.1551000000000004e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_preconditioner,5.4674000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_total,9.1273000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,reference,products,2.1337423706054687e-07,0,0,0,0,0,78465616
float,16,1,0,reference,preconditioner,6.9870000000000002e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,0,reference,solve,8.1073000000000001e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,native,products,2.0837518310546874e-07,0,0,0,0,0,78465616
float,16,1,0,native,preconditioner,7.1836250000000002e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,0,native,solve,7.9940999999999999e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,native,products,2.1061450195312499e-07,0,0,0,0,0,78465616
float,16,1,1,native,preconditioner,7.2073749999999998e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,1,native,solve,7.9079999999999995e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,reference,products,2.1006475830078126e-07,0,0,0,0,0,78465616
float,16,1,1,reference,preconditioner,6.9782499999999996e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,1,reference,solve,7.9892e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,reference,products,2.0918081665039062e-07,0,0,0,0,0,78465616
float,16,1,2,reference,preconditioner,6.9720000000000003e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,2,reference,solve,7.9530999999999995e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,native,products,2.10768310546875e-07,0,0,0,0,0,78465616
float,16,1,2,native,preconditioner,7.1998750000000002e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,2,native,solve,8.0020999999999998e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,native,products,2.0790002441406251e-07,0,0,0,0,0,78465616
float,16,1,3,native,preconditioner,7.1509999999999998e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,3,native,solve,8.5111999999999994e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,reference,products,2.1277008056640624e-07,0,0,0,0,0,78465616
float,16,1,3,reference,preconditioner,6.98075e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,3,reference,solve,7.9721000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,reference,products,2.1031484985351563e-07,0,0,0,0,0,78465616
float,16,1,4,reference,preconditioner,6.98075e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,4,reference,solve,7.9730999999999999e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,native,products,2.1075024414062501e-07,0,0,0,0,0,78465616
float,16,1,4,native,preconditioner,7.1998750000000002e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,4,native,solve,7.9019999999999999e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,native,products,2.0960491943359376e-07,0,0,0,0,0,78465616
float,16,1,5,native,preconditioner,7.1723750000000001e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,5,native,solve,7.8808999999999997e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,reference,products,2.1203594970703125e-07,0,0,0,0,0,78465616
float,16,1,5,reference,preconditioner,6.9645e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,5,reference,solve,7.9550999999999998e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,reference,products,2.1192803955078124e-07,0,0,0,0,0,78465616
float,16,1,6,reference,preconditioner,6.9781250000000002e-06,0,0,0,0,0,-0.84679639339447021
float,16,1,6,reference,solve,7.9469999999999996e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,native,products,2.5089584350585936e-07,0,0,0,0,0,78465616
float,16,1,6,native,preconditioner,7.182375e-06,0,0,0,0,0,-0.84679639339447021
