precision,side,block,phase,pairs,reference_median_seconds,native_median_seconds,median_paired_speedup,min_paired_speedup,max_paired_speedup
double,16,1,preconditioner,10,7.397125e-06,7.671375e-06,0.9662641525810833,0.8521139957619178,0.9805850544009381
double,16,1,products,10,1.3779002380371094e-07,1.3762400817871095e-07,0.9968907125979234,0.9775610861286852,1.329629552147282
double,16,1,solve,10,0.0001406365,0.00013964499999999998,1.0081053654102352,0.8591614717027258,1.1166066046625378
double,16,5,preconditioner,10,1.0055875e-05,1.0022062500000001e-05,1.0031308410233912,0.9939399923478518,1.127166764423257
double,16,5,products,10,6.301301693880665e-07,6.295956813673126e-07,1.0009124504053095,0.7553196669964828,1.0694116847529291
double,16,5,solve,10,0.000227245,0.00022202099999999998,1.024687601650487,0.9420218656585927,1.0915692029803568
double,16,1296,preconditioner,10,0.0023384929375,0.002317738,1.0020266302159782,0.8359731197951417,1.1498715906485506
double,16,1296,products,10,0.00017448334,0.00018262896,0.968895595387431,0.8068495645605539,1.3254198384515024
double,16,1296,solve,10,0.07102038899999999,0.071309602,0.9895612694474208,0.8603367218215171,1.0242472744489381
float,16,1,preconditioner,10,6.98075e-06,7.199875e-06,0.9702913574857892,0.13663963417160882,0.9830426523916422
float,16,1,products,10,2.1112144470214844e-07,2.0984967041015623e-07,0.9993396763546764,0.8446853347167225,1.073163633166271
float,16,1,solve,10,7.98115e-05,7.984600000000001e-05,1.0092064452070058,0.8399835110824551,1.2986988377968671
float,16,5,preconditioner,10,9.315125e-06,9.3000625e-06,1.0006780252681893,0.8269228637003692,1.1209896463627809
float,16,5,products,10,9.366068976041508e-07,9.34282923851671e-07,0.9970477396299421,0.8165829443680749,1.0291378909169713
float,16,5,solve,10,0.00012688549999999998,0.0001267655,1.0010340177950963,0.8588500231228595,1.1321053925261064
float,16,1296,preconditioner,10,0.0006631825,0.0006028600625,1.1135870807631694,0.8422857210393755,1.440223341828366
float,16,1296,products,10,0.00024400376000000001,0.00024867822,0.9856649291572865,0.8871436873345137,1.3002664609864827
float,16,1296,solve,10,0.0182510435,0.0182657325,1.0028866318309693,0.9232815369630067,1.1469434097194546
