precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
float,32,1,-1,native,profile_operator,0.000124055,4,10,8,14,3.342033521587579e-06,0
float,32,1,-1,native,profile_preconditioner,0.00032383000000000005,4,10,8,14,3.342033521587579e-06,0
float,32,1,-1,native,profile_total,0.00049336400000000004,4,10,8,14,3.342033521587579e-06,0
float,32,1,-1,reference,profile_operator,0.000124537,4,10,8,14,3.342033521587579e-06,0
float,32,1,-1,reference,profile_preconditioner,0.00033891100000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,-1,reference,profile_total,0.00051765999999999997,4,10,8,14,3.342033521587579e-06,0
float,32,1,0,reference,products,1.0591715087890626e-06,0,0,0,0,0,83206360
float,32,1,0,reference,preconditioner,4.1532375000000001e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,0,reference,solve,0.00055221600000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,0,native,products,1.0634312744140625e-06,0,0,0,0,0,83206360
float,32,1,0,native,preconditioner,4.2219999999999999e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,0,native,solve,0.00046668300000000002,4,10,8,14,3.342033521587579e-06,0
float,32,1,1,native,products,1.2051557617187501e-06,0,0,0,0,0,83206360
float,32,1,1,native,preconditioner,4.2219874999999997e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,1,native,solve,0.00047220399999999999,4,10,8,14,3.342033521587579e-06,0
float,32,1,1,reference,products,1.0550694580078124e-06,0,0,0,0,0,83206360
float,32,1,1,reference,preconditioner,4.2896250000000001e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,1,reference,solve,0.00047078099999999998,4,10,8,14,3.342033521587579e-06,0
float,32,1,2,reference,products,1.07239599609375e-06,0,0,0,0,0,83206360
float,32,1,2,reference,preconditioner,4.1571250000000003e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,2,reference,solve,0.00047992800000000002,4,10,8,14,3.342033521587579e-06,0
float,32,1,2,native,products,1.0687783203125001e-06,0,0,0,0,0,83206360
float,32,1,2,native,preconditioner,4.2232374999999997e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,2,native,solve,0.000481993,4,10,8,14,3.342033521587579e-06,0
float,32,1,3,native,products,1.0651264648437499e-06,0,0,0,0,0,83206360
float,32,1,3,native,preconditioner,4.2286249999999999e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,3,native,solve,0.000472084,4,10,8,14,3.342033521587579e-06,0
float,32,1,3,reference,products,1.0684248046875e-06,0,0,0,0,0,83206360
float,32,1,3,reference,preconditioner,4.322925e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,3,reference,solve,0.00047154199999999998,4,10,8,14,3.342033521587579e-06,0
float,32,1,4,reference,products,1.0660777587890625e-06,0,0,0,0,0,83206360
float,32,1,4,reference,preconditioner,4.3052749999999999e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,4,reference,solve,0.000470731,4,10,8,14,3.342033521587579e-06,0
float,32,1,4,native,products,1.067149169921875e-06,0,0,0,0,0,83206360
float,32,1,4,native,preconditioner,4.227e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,4,native,solve,0.00048229300000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,5,native,products,1.061047607421875e-06,0,0,0,0,0,83206360
float,32,1,5,native,preconditioner,4.2231124999999998e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,5,native,solve,0.000484847,4,10,8,14,3.342033521587579e-06,0
float,32,1,5,reference,products,1.0461085205078126e-06,0,0,0,0,0,83206360
float,32,1,5,reference,preconditioner,4.2501749999999997e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,5,reference,solve,0.000470851,4,10,8,14,3.342033521587579e-06,0
float,32,1,6,reference,products,1.0843974609374999e-06,0,0,0,0,0,83206360
float,32,1,6,reference,preconditioner,4.3537374999999999e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,6,reference,solve,0.000551664,4,10,8,14,3.342033521587579e-06,0
float,32,1,6,native,products,1.1699769287109376e-06,0,0,0,0,0,83206360
float,32,1,6,native,preconditioner,4.2402750000000003e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,6,native,solve,0.00049572899999999998,4,10,8,14,3.342033521587579e-06,0
float,32,1,7,native,products,1.0688125000000001e-06,0,0,0,0,0,83206360
float,32,1,7,native,preconditioner,4.2287499999999998e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,7,native,solve,0.00049946500000000004,4,10,8,14,3.342033521587579e-06,0
float,32,1,7,reference,products,1.0621739501953126e-06,0,0,0,0,0,83206360
float,32,1,7,reference,preconditioner,4.1640125000000003e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,7,reference,solve,0.00053995200000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,8,reference,products,1.0684028320312499e-06,0,0,0,0,0,83206360
float,32,1,8,reference,preconditioner,4.1658875e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,8,reference,solve,0.00047238400000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,8,native,products,1.064970947265625e-06,0,0,0,0,0,83206360
float,32,1,8,native,preconditioner,4.3404625000000003e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,8,native,solve,0.00046613299999999998,4,10,8,14,3.342033521587579e-06,0
float,32,1,9,native,products,1.0675491943359376e-06,0,0,0,0,0,83206360
float,32,1,9,native,preconditioner,4.3385874999999999e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,9,native,solve,0.00047525900000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,9,reference,products,1.0603468017578125e-06,0,0,0,0,0,83206360
float,32,1,9,reference,preconditioner,4.1585000000000002e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,9,reference,solve,0.00050153899999999996,4,10,8,14,3.342033521587579e-06,0
float,32,1,10,reference,products,1.0632183837890626e-06,0,0,0,0,0,83206360
float,32,1,10,reference,preconditioner,4.1539874999999997e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,10,reference,solve,0.00047010999999999998,4,10,8,14,3.342033521587579e-06,0
float,32,1,10,native,products,1.0636074218750001e-06,0,0,0,0,0,83206360
float,32,1,10,native,preconditioner,4.3218125000000001e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,10,native,solve,0.00046463,4,10,8,14,3.342033521587579e-06,0
float,32,1,11,native,products,1.0604177246093749e-06,0,0,0,0,0,83206360
float,32,1,11,native,preconditioner,4.2375249999999997e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,11,native,solve,0.0017261170000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,11,reference,products,1.07793505859375e-06,0,0,0,0,0,83206360
float,32,1,11,reference,preconditioner,4.3469749999999998e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,11,reference,solve,0.00049153000000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,12,reference,products,1.0673706054687501e-06,0,0,0,0,0,83206360
float,32,1,12,reference,preconditioner,4.8744749999999998e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,12,reference,solve,0.00047150300000000002,4,10,8,14,3.342033521587579e-06,0
float,32,1,12,native,products,1.0705150146484376e-06,0,0,0,0,0,83206360
float,32,1,12,native,preconditioner,4.2302624999999999e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,12,native,solve,0.00048268399999999999,4,10,8,14,3.342033521587579e-06,0
float,32,1,13,native,products,1.081692138671875e-06,0,0,0,0,0,83206360
