precision,side,block,phase,pairs,reference_median_seconds,native_median_seconds,median_paired_speedup,min_paired_speedup,max_paired_speedup
double,32,1,preconditioner,20,3.2100124999999996e-05,3.341575e-05,0.9535214612922791,0.7942500148971469,1.0220871015233002
double,32,1,products,20,5.027528076171875e-07,5.076814575195313e-07,0.9955366843697304,0.7430151086429595,1.4080366038189491
double,32,1,solve,20,0.000601198,0.000598688,1.0071112698890943,0.5022875992436309,1.1207574236607567
double,32,5,preconditioner,20,4.12813125e-05,4.122425e-05,1.0015737691063826,0.19691245217209455,1.0576665597514072
double,32,5,products,20,2.5569093406593406e-06,2.554780525030525e-06,1.0032167002868748,0.9688797435029654,1.3164315990111244
double,32,5,solve,20,0.0009525174999999999,0.000925021,1.0279855442847832,0.9409341777833387,1.1113750283997952
double,32,1296,preconditioner,20,0.0122895366875,0.011473370937500001,1.0694645261351137,0.9804007290199654,1.4500031223751464
double,32,1296,products,20,0.0011396519166666666,0.0011685925833333332,0.9927649999212251,0.7533210436987862,1.3934183327121814
double,32,1296,solve,20,0.3252798565,0.318617068,1.018767502874081,0.9407550718414566,1.488347753582353
float,32,1,preconditioner,20,4.20903125e-05,4.2327625e-05,0.9860181373620157,0.8409672292439265,1.1582605564590154
float,32,1,products,20,1.06788671875e-06,1.0673491821289064e-06,0.999315116980305,0.865561299178205,1.0492171878768743
float,32,1,solve,20,0.00047615600000000004,0.000482143,1.0109806263564003,0.284760534772556,1.1832785852495162
float,32,5,preconditioner,20,3.8047e-05,3.803825e-05,1.0021862563071553,0.7828911888487213,1.0589804405957832
float,32,5,products,20,3.6668214285714288e-06,3.6767515262515262e-06,0.9991463177403938,0.8081568673251919,1.0434368429486565
float,32,5,solve,20,0.000529031,0.0005211314999999999,1.0113364986339595,0.9578925238343342,1.1411657576957048
float,32,1296,preconditioner,20,0.0058841909375000005,0.0054271958125000005,1.0995457460807054,1.0046286369306496,1.3713849057683425
float,32,1296,products,20,0.0009631544166666666,0.0009933894166666666,0.9763158024631415,0.768229297288583,1.2898362092009223
float,32,1296,solve,20,0.09266100199999999,0.0912149925,1.0153521796105016,0.9725659176864585,1.069408471600541
