precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
float,32,1,-1,native,profile_operator,0.00012950599999999999,4,10,8,14,3.342033521587579e-06,0
float,32,1,-1,native,profile_preconditioner,0.000323204,4,10,8,14,3.342033521587579e-06,0
float,32,1,-1,native,profile_total,0.00050536699999999995,4,10,8,14,3.342033521587579e-06,0
float,32,1,-1,reference,profile_operator,0.00012261100000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,-1,reference,profile_preconditioner,0.00033838100000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,-1,reference,profile_total,0.000524644,4,10,8,14,3.342033521587579e-06,0
float,32,1,0,reference,products,1.0664465332031251e-06,0,0,0,0,0,83206360
float,32,1,0,reference,preconditioner,4.1560000000000002e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,0,reference,solve,0.000483776,4,10,8,14,3.342033521587579e-06,0
float,32,1,0,native,products,1.063255615234375e-06,0,0,0,0,0,83206360
float,32,1,0,native,preconditioner,4.2291374999999998e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,0,native,solve,0.00046714499999999997,4,10,8,14,3.342033521587579e-06,0
float,32,1,1,native,products,1.0675925292968749e-06,0,0,0,0,0,83206360
float,32,1,1,native,preconditioner,4.373025e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,1,native,solve,0.00046507100000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,1,reference,products,1.0594924316406249e-06,0,0,0,0,0,83206360
float,32,1,1,reference,preconditioner,4.8380375e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,1,reference,solve,0.00047310599999999999,4,10,8,14,3.342033521587579e-06,0
float,32,1,2,reference,products,1.2219582519531251e-06,0,0,0,0,0,83206360
float,32,1,2,reference,preconditioner,4.3071500000000003e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,2,reference,solve,0.00047046099999999998,4,10,8,14,3.342033521587579e-06,0
float,32,1,2,native,products,1.0642940673828124e-06,0,0,0,0,0,83206360
float,32,1,2,native,preconditioner,4.2268750000000001e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,2,native,solve,0.000485188,4,10,8,14,3.342033521587579e-06,0
float,32,1,3,native,products,1.0595963134765626e-06,0,0,0,0,0,83206360
float,32,1,3,native,preconditioner,4.2179874999999997e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,3,native,solve,0.00051657799999999996,4,10,8,14,3.342033521587579e-06,0
float,32,1,3,reference,products,1.0705363769531251e-06,0,0,0,0,0,83206360
float,32,1,3,reference,preconditioner,4.1564999999999999e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,3,reference,solve,0.00047127200000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,4,reference,products,1.0652197265624999e-06,0,0,0,0,0,83206360
float,32,1,4,reference,preconditioner,4.2887499999999999e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,4,reference,solve,0.00046997,4,10,8,14,3.342033521587579e-06,0
float,32,1,4,native,products,1.0574475097656249e-06,0,0,0,0,0,83206360
float,32,1,4,native,preconditioner,4.2267500000000001e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,4,native,solve,0.00048410700000000001,4,10,8,14,3.342033521587579e-06,0
float,32,1,5,native,products,1.06605029296875e-06,0,0,0,0,0,83206360
float,32,1,5,native,preconditioner,4.2290124999999999e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,5,native,solve,0.000482743,4,10,8,14,3.342033521587579e-06,0
float,32,1,5,reference,products,1.0665566406249999e-06,0,0,0,0,0,83206360
float,32,1,5,reference,preconditioner,4.155e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,5,reference,solve,0.00047058100000000003,4,10,8,14,3.342033521587579e-06,0
float,32,1,6,reference,products,1.062598876953125e-06,0,0,0,0,0,83206360
float,32,1,6,reference,preconditioner,4.306275e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,6,reference,solve,0.000470321,4,10,8,14,3.342033521587579e-06,0
float,32,1,6,native,products,1.0813930664062499e-06,0,0,0,0,0,83206360
float,32,1,6,native,preconditioner,4.3901874999999999e-05,0,0,0,0,0,-0.60671710968017578
float,32,1,6,native,solve,0.00046392900000000002,4,10,8,14,3.342033521587579e-06,0
float,32,1,7,native,products,1.0719049072265624e-06,0,0,0,0,0,83206360
float,32,1,7,native,preconditioner,4.3451000000000001e-05,0,0,0,0,0,-0.60671710968017578
