precision,side,block,phase,pairs,reference_median_seconds,native_median_seconds,median_paired_speedup,min_paired_speedup,max_paired_speedup
double,32,1,preconditioner,20,3.1855937499999994e-05,3.2842125e-05,0.9700836467781666,0.9331733662073115,1.0978631308290352
double,32,1,products,20,5.022637939453125e-07,5.031479492187499e-07,0.9977811292694077,0.7198790988333779,1.4259064908996122
double,32,1,solve,20,0.000600587,0.000597105,1.0068972143149466,0.9504022772334038,1.1348065742959104
double,32,5,preconditioner,20,4.25204375e-05,4.1723999999999996e-05,1.0430427807209433,0.8073522713652165,1.3232953329777393
double,32,5,products,20,2.5640332722832723e-06,2.562476800976801e-06,1.0013537860172352,0.7757705868457501,1.3492981736849299
double,32,5,solve,20,0.0009582495,0.000943291,1.0189702796827487,0.9057639428523057,1.1139729348817882
double,32,1296,preconditioner,20,0.012131952875000001,0.011524982125,1.0538500829685074,1.0240907693024974,1.1162632920421554
double,32,1296,products,20,0.0010980989166666667,0.0010422373333333333,1.057966937669037,0.9232651998118927,1.4967153598993008
double,32,1296,solve,20,0.32240214700000003,0.3174838995,1.0169751024643294,0.9619849909649485,1.1013375934217626
float,32,1,preconditioner,20,4.15511875e-05,4.2268125e-05,0.98064296322025,0.9161561720207719,1.112973545853162
float,32,1,products,20,1.0638604125976563e-06,1.0601002197265627e-06,1.00160705130798,0.9483869263768425,1.262622586176358
float,32,1,solve,20,0.0004701455,0.0004639485,1.0107377764002494,0.9045724474008957,1.0680644757784497
float,32,5,preconditioner,20,3.7846e-05,3.8881125e-05,1.001449443588062,0.7628758742799862,1.298224367944468
float,32,5,products,20,3.689882478632479e-06,3.6789951159951163e-06,1.0026859562816584,0.808759582476631,1.0935546092057824
float,32,5,solve,20,0.0005504925,0.000534682,1.0185702534204846,0.6240188173834241,1.4619722483210777
float,32,1296,preconditioner,20,0.0058705646875,0.005420807625,1.0785374182785397,1.030465873992543,1.5005237392883204
float,32,1296,products,20,0.0009681838333333334,0.00098058225,0.9867669852046075,0.7454599879608993,1.3537023226544425
float,32,1296,solve,20,0.09415380649999999,0.09170476550000001,1.0330794490226696,0.9957177509690281,1.194765485176763
