precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
float,16,1,-1,native,profile_operator,2.4036000000000002e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_preconditioner,5.5475000000000007e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,native,profile_total,9.1823000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_operator,2.3285000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_preconditioner,5.4443e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,-1,reference,profile_total,9.3826999999999995e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,reference,products,2.1162759399414063e-07,0,0,0,0,0,78465616
float,16,1,0,reference,solve,8.1563999999999994e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,0,native,products,2.7832681274414063e-07,0,0,0,0,0,78465616
float,16,1,0,native,solve,8.4890999999999997e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,native,products,2.7278747558593752e-07,0,0,0,0,0,78465616
float,16,1,1,native,solve,9.0912e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,1,reference,products,2.0975332641601563e-07,0,0,0,0,0,78465616
float,16,1,1,reference,solve,8.0362000000000001e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,reference,products,2.5281951904296878e-07,0,0,0,0,0,78465616
float,16,1,2,reference,solve,7.9460000000000002e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,2,native,products,2.7502038574218748e-07,0,0,0,0,0,78465616
float,16,1,2,native,solve,7.9710999999999996e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,native,products,2.7201879882812501e-07,0,0,0,0,0,78465616
float,16,1,3,native,solve,7.9530999999999995e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,3,reference,products,2.1557550048828126e-07,0,0,0,0,0,78465616
float,16,1,3,reference,solve,7.9641000000000005e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,reference,products,2.0708224487304688e-07,0,0,0,0,0,78465616
float,16,1,4,reference,solve,7.9300000000000003e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,4,native,products,2.8217535400390624e-07,0,0,0,0,0,78465616
float,16,1,4,native,solve,7.9259999999999997e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,native,products,2.7170046997070313e-07,0,0,0,0,0,78465616
float,16,1,5,native,solve,7.9470999999999999e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,5,reference,products,2.1180618286132812e-07,0,0,0,0,0,78465616
float,16,1,5,reference,solve,7.9289999999999995e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,reference,products,2.1171566772460937e-07,0,0,0,0,0,78465616
float,16,1,6,reference,solve,7.9950999999999994e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,6,native,products,2.7422723388671873e-07,0,0,0,0,0,78465616
float,16,1,6,native,solve,9.6482000000000002e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,7,native,products,2.7427557373046875e-07,0,0,0,0,0,78465616
float,16,1,7,native,solve,7.9801000000000004e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,7,reference,products,2.1374926757812501e-07,0,0,0,0,0,78465616
float,16,1,7,reference,solve,8.0181999999999999e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,8,reference,products,2.5164633178710937e-07,0,0,0,0,0,78465616
float,16,1,8,reference,solve,8.0191999999999994e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,8,native,products,2.7357629394531248e-07,0,0,0,0,0,78465616
float,16,1,8,native,solve,8.0662999999999997e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,9,native,products,2.7265997314453126e-07,0,0,0,0,0,78465616
float,16,1,9,native,solve,8.0130999999999996e-05,4,10,8,14,3.2914065381477398e-06,0
float,16,1,9,reference,products,2.1332974243164061e-07,0,0,0,0,0,78465616
float,16,1,9,reference,solve,8.1525000000000003e-05,4,10,8,14,3.2914065381477398e-06,0
double,16,1,-1,native,profile_operator,3.3735999999999997e-05,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,native,profile_preconditioner,0.000103008,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,native,profile_total,0.000156367,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_operator,3.2901000000000002e-05,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_preconditioner,0.00010196500000000002,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_total,0.00015300000000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,0,reference,products,1.4163360595703125e-07,0,0,0,0,0,78465625.174233173
double,16,1,0,reference,solve,0.00014841100000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,0,native,products,2.3532421875e-07,0,0,0,0,0,78465625.174233173
double,16,1,0,native,solve,0.000147379,7,16,14,23,4.5613717577587319e-10,0
double,16,1,1,native,products,2.3444091796875001e-07,0,0,0,0,0,78465625.174233173
double,16,1,1,native,solve,0.00014582700000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,1,reference,products,1.4594076538085938e-07,0,0,0,0,0,78465625.174233173
double,16,1,1,reference,solve,0.00014542600000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,2,reference,products,1.4046469116210937e-07,0,0,0,0,0,78465625.174233173
double,16,1,2,reference,solve,0.00017276699999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,2,native,products,2.3991821289062499e-07,0,0,0,0,0,78465625.174233173
double,16,1,2,native,solve,0.00015030499999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,3,native,products,2.3494479370117187e-07,0,0,0,0,0,78465625.174233173
double,16,1,3,native,solve,0.00016320899999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,3,reference,products,1.4269641113281249e-07,0,0,0,0,0,78465625.174233173
double,16,1,3,reference,solve,0.000146217,7,16,14,23,4.5613717577587319e-10,0
double,16,1,4,reference,products,1.492362060546875e-07,0,0,0,0,0,78465625.174233173
double,16,1,4,reference,solve,0.000158701,7,16,14,23,4.5613717577587319e-10,0
double,16,1,4,native,products,2.7455838012695313e-07,0,0,0,0,0,78465625.174233173
double,16,1,4,native,solve,0.00014710799999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,5,native,products,2.3535723876953126e-07,0,0,0,0,0,78465625.174233173
double,16,1,5,native,solve,0.00015808,7,16,14,23,4.5613717577587319e-10,0
double,16,1,5,reference,products,1.3987551879882812e-07,0,0,0,0,0,78465625.174233173
double,16,1,5,reference,solve,0.00014557599999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,6,reference,products,1.401534423828125e-07,0,0,0,0,0,78465625.174233173
double,16,1,6,reference,solve,0.00014524500000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,6,native,products,2.3599322509765624e-07,0,0,0,0,0,78465625.174233173
double,16,1,6,native,solve,0.000146518,7,16,14,23,4.5613717577587319e-10,0
double,16,1,7,native,products,2.3385263061523437e-07,0,0,0,0,0,78465625.174233173
double,16,1,7,native,solve,0.00014597699999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,7,reference,products,1.3989141845703124e-07,0,0,0,0,0,78465625.174233173
double,16,1,7,reference,solve,0.00014988299999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,8,reference,products,1.4110494995117188e-07,0,0,0,0,0,78465625.174233173
double,16,1,8,reference,solve,0.00014509399999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,8,native,products,2.3456198120117188e-07,0,0,0,0,0,78465625.174233173
double,16,1,8,native,solve,0.000145766,7,16,14,23,4.5613717577587319e-10,0
double,16,1,9,native,products,2.3583514404296875e-07,0,0,0,0,0,78465625.174233173
double,16,1,9,native,solve,0.000146518,7,16,14,23,4.5613717577587319e-10,0
double,16,1,9,reference,products,1.3887387084960936e-07,0,0,0,0,0,78465625.174233173
double,16,1,9,reference,solve,0.00014529500000000001,7,16,14,23,4.5613717577587319e-10,0
float,16,5,-1,native,profile_operator,4.4064000000000004e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,native,profile_preconditioner,8.6972999999999996e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,native,profile_total,0.00017805699999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_operator,4.0241999999999992e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_preconditioner,7.3130999999999988e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_total,0.00016576399999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,0,reference,products,1.133300167862048e-06,0,0,0,0,0,79192294.665039062
float,16,5,0,reference,solve,0.000130717,4,10,8,14,3.3816904203655107e-06,0
float,16,5,0,native,products,1.2821857164657409e-06,0,0,0,0,0,79192294.665039062
float,16,5,0,native,solve,0.00013196,4,10,8,14,3.3816904203655107e-06,0
float,16,5,1,native,products,1.2957854417823897e-06,0,0,0,0,0,79192294.665039062
float,16,5,1,native,solve,0.00013136800000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,1,reference,products,9.6486571036166654e-07,0,0,0,0,0,79192294.665039062
float,16,5,1,reference,solve,0.00013152899999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,2,reference,products,9.3743689913016941e-07,0,0,0,0,0,79192294.665039062
float,16,5,2,reference,solve,0.00012718000000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,2,native,products,1.2930700442545399e-06,0,0,0,0,0,79192294.665039062
float,16,5,2,native,solve,0.000136408,4,10,8,14,3.3816904203655107e-06,0
