precision,side,block,phase,pairs,reference_median_seconds,native_median_seconds,median_paired_speedup,min_paired_speedup,max_paired_speedup
double,16,1,products,10,1.4078482055664063e-07,2.353407287597656e-07,0.5962574176734997,0.5435499946702852,0.6225055192810356
double,16,1,solve,10,0.0001458965,0.00014681299999999998,0.99632001886536,0.8958880944065585,1.1494427996407306
double,16,5,products,10,6.31529604761178e-07,1.0923840225850755e-06,0.5784046266169225,0.5682913197043251,0.7659925250151015
double,16,5,solve,10,0.0002358915,0.00023379800000000001,1.01203086322767,0.8399397725972698,1.1274881270599226
double,16,1296,products,10,0.00018652908,0.00029425508,0.6385511737132137,0.5576528284368638,0.7954996578278537
double,16,1296,solve,10,0.07362406799999999,0.072661185,0.9940793282786216,0.9571082916097382,1.0376859792182518
float,16,1,products,10,2.1256796264648437e-07,2.739017639160156e-07,0.7794403389406449,0.7338778597587235,0.9198396840532285
float,16,1,solve,10,8.00665e-05,7.9966e-05,0.9972867821600011,0.8286623411620819,1.0173965132096194
float,16,5,products,10,9.403395391423776e-07,1.2863925682893331e-06,0.7317788826116916,0.6184756316389055,0.88388144814615
float,16,5,solve,10,0.000130061,0.000131664,0.9946652980547623,0.8941405767308103,1.0625786303154092
float,16,1296,products,10,0.00024316394,0.00033974524,0.7153385199339629,0.6968119308603358,0.7933079875673835
float,16,1296,solve,10,0.018391427,0.0182083755,0.9899525175531978,0.8363008508612693,1.1092940503990731
